"","wildtypeIDs","sampleXplate","lhfc_G","lhfc_G4S"
"1225","12396n-60519n-47679r","SMART093X195",1.97685495290473,1.69744878975681
"1231","12396n-60519n-47679r","SMART096X194",0,1.71379792775834
"1237","12396n-60519n-47679r","SMART100X195",0,2.04122032885964
"1239","12396n-60519n-47679r","SMART102X194",1.76473079684014,1.86408013080768
"1247","12396n-60519n-47679r","SMART108X195",0,1.75440368268429
"1251","12396n-60519n-47679r","SMART115X195",2.30757263450508,1.66203036255327
"1257","12396n-60519n-47679r","SMART119X194",0,2.34084380511114
"1261","12396n-60519n-47679r","SMART122X195",2.17928687664955,0
"1269","12396n-60519n-47679r","SMART129X195",3.12015985192904,2.52572864430826
"1271","12396n-60519n-47679r","SMART136X194",2.12942147398486,3.08053287524646
"1275","12396n-60519n-47679r","SMART147X195",1.79674701073909,0
"1283","12396n-60519n-47679r","SMART160X194",1.90805992492422,1.99333884262642
"1285","12396n-60519n-47679r","SMART164X194",0,2.0188950418118
"1287","12396n-60519n-47679r","SMART170X194",0,1.85473426838944
"1289","12396n-60519n-47679r","SMART171X195",2.24495598015741,2.26592110862245
"1293","12396n-60519n-47679r","SMART178X194",1.61342993370364,0
"1299","12396n-60519n-47679r","SMART189X195",2.07065303564676,1.65632149833295
"1311","12396n-60519n-47679r","SMART235X195",2.40874528882244,0
"1323","12396n-60519n-47679r","SMART258X194",0,1.63510565918268
"1325","12396n-60519n-47679r","SMART263X195",1.9823798288367,0
"1329","12396n-60519n-47679r","SMART267X195",1.90210752639692,1.73871024813824
"1357","12396n-60519n-47679r","SMART320X195",2.48740352998659,1.63705307946707
"1367","12396n-60519n-47679r","SMART332X194",0,1.66013102674962
"1369","12396n-60519n-47679r","SMART336X194",0,1.6752256529721
"1371","12396n-60519n-47679r","SMART341X194",0,1.6467336971778
"1377","12396n-60519n-47679r","SMART357X195",2.484906649788,2.02022218201986
"1379","12396n-60519n-47679r","SMART360X195",1.82616089594539,0
"1383","12396n-60519n-47679r","SMART370X195",2.14476100780048,1.90210752639692
"1385","12396n-60519n-47679r","SMART371X195",2.79055142261395,1.61740608208328
"1395","12396n-60519n-47679r","SMART397X195",2.6049094421827,2.07191327525904
"1425","15936n-12296n-82719n","CSC034X195",2.95021175825218,3.19908119754002
"1435","15936n-12296n-82719n","S3.0149.01X195",3.35724549413297,3.44169932497149
"1478","15936n-12296n-82719n","S3.0662.01X195",2.37490575457367,0
"1492","15936n-12296n-82719n","S3.0701.01.2X194",2.56109578814555,2.63834278867739
