"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"479","ivig_601","ivig_601_71",0,"pep3","dolphyn_7811565622150842473","S3.0693.01X195"
"480","uvig_357441","uvig_357441_52",0,"pep1","dolphyn_8683759630732447324","S3.0693.01X195"
"481","uvig_357328","uvig_357328_48",0,"pep3","dolphyn_1038317668394306519","S3.0153.01X194"
"482","uvig_355478","uvig_355478_23",0,"pep2","dolphyn_3484863774746375660","S3.0693.01X195"
"483","uvig_356500","uvig_356500_46",0,"pep2","dolphyn_5528338047860422414","S3.0693.01X195"
"484","uvig_355854","uvig_355854_16",0,"pep3","dolphyn_8583984308040125131","S3.0693.01X195"
"485","uvig_357328","uvig_357328_37",0,"pep3","dolphyn_8074362613255034008","S3.0693.01X195"
"486","uvig_356033","uvig_356033_37",0,"pep3","dolphyn_8631679163584139442","S3.0693.01.2X194"
"487","uvig_356033","uvig_356033_37",0,"pep3","dolphyn_8631679163584139442","S3.0693.01X195"
"488","ivig_3353","ivig_3353_60",0,"pep3","dolphyn_9141487855017976800","S3.0153.01X194"
"489","uvig_375837","uvig_375837_43",0,"pep3","dolphyn_5285026894547867112","S3.0153.01X194"
"490","uvig_358682","uvig_358682_22",0,"pep1","dolphyn_3559398535225935904","SO.0491.01X194"
"491","uvig_358682","uvig_358682_22",0,"pep1","dolphyn_3559398535225935904","S3.0153.01X194"
"492","ivig_1427","ivig_1427_23",0,"pep3","dolphyn_3003663365585265854","S3.0153.01X194"
"493","ivig_4424","ivig_4424_11",0,"pep3","dolphyn_5688086125013948095","SO.0491.01X194"
"494","ivig_2475","ivig_2475_57",0,"pep1","dolphyn_8894783013327269485","SO.0491.01X194"
"495","uvig_428798","uvig_428798_34",0,"pep3","dolphyn_1594882241569229004","S3.0693.01X195"
"496","uvig_428798","uvig_428798_34",0,"pep3","dolphyn_1594882241569229004","S3.0693.01.2X194"
"497","ivig_2475","ivig_2475_57",0,"pep3","dolphyn_8894783013327269485","SO.0491.01X194"
"498","uvig_428798","uvig_428798_104",0,"pep3","dolphyn_1641026356165042594","SO.0491.01X194"
"499","uvig_428798","uvig_428798_99",0,"pep3","dolphyn_928185215397604021","S3.0693.01X195"
"500","uvig_356226","uvig_356226_50",0,"pep3","dolphyn_9032049106755881724","S3.0153.01X194"
"501","ivig_3875","ivig_3875_12",0,"pep2","dolphyn_1453739001129547693","S3.0153.01X194"
"502","uvig_354790","uvig_354790_60",0,"pep3","dolphyn_2408941275062933039","S3.0153.01X194"
"503","uvig_356500","uvig_356500_46",0,"pep3","dolphyn_5528338047860422414","S3.0693.01X195"
"504","uvig_354753","uvig_354753_35",0,"pep2","dolphyn_2717842823504231136","S3.0693.01X195"
"505","uvig_357441","uvig_357441_102",0,"pep1","dolphyn_8570093932859673780","S3.0153.01X194"
"506","ivig_896","ivig_896_99",0,"pep1","dolphyn_7009820169839275791","S3.0153.01X194"
"507","uvig_385029","uvig_385029_132",0,"pep2","dolphyn_2564611118874624972","S3.0693.01X195"
"508","uvig_358797","uvig_358797_3",0,"pep2","dolphyn_8887811207448440133","S3.0693.01X195"
"509","uvig_358797","uvig_358797_3",0,"pep2","dolphyn_8887811207448440133","S3.0693.01.2X194"
"510","uvig_315082","uvig_315082_60",0,"pep3","dolphyn_2679185654020177539","S3.0153.01X194"
"511","uvig_449019","uvig_449019_2",0,"pep3","dolphyn_5526531722062021210","S3.0153.01X194"
"512","uvig_357441","uvig_357441_102",0,"pep2","dolphyn_8570093932859673780","S3.0153.01X194"
"513","uvig_385029","uvig_385029_39",0,"pep1","dolphyn_175463952917582722","S3.0153.01X194"
"514","uvig_80910","uvig_80910_6",0,"pep2","dolphyn_8989362103097529054","S3.0153.01X194"
"515","ivig_4427","ivig_4427_28",0,"pep1","dolphyn_4349790213967476616","S3.0153.01X194"
"516","uvig_354826","uvig_354826_19",0,"pep3","dolphyn_6107801498606912680","S3.0693.01X195"
"517","uvig_357328","uvig_357328_30",0,"pep2","dolphyn_6302988325230880598","SO.0491.01X194"
"518","uvig_357328","uvig_357328_30",0,"pep2","dolphyn_6302988325230880598","S3.0693.01X195"
"519","uvig_375837","uvig_375837_48",0,"pep1","dolphyn_3549646940544030343","S3.0693.01X195"
"520","uvig_385029","uvig_385029_52",0,"pep2","dolphyn_4786623748761711736","S3.0693.01X195"
"521","uvig_315082","uvig_315082_59",0,"pep1","dolphyn_1859139536493128781","S3.0153.01X194"
"522","uvig_80910","uvig_80910_3",0,"pep3","dolphyn_1331713022849572150","S3.0153.01X194"
"523","ivig_601","ivig_601_71",0,"pep1","dolphyn_5699751047647857678","S3.0153.01X194"
